,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths
1001,55049.0,22714.0,20800.0,6697.0,1437.0,26168.0,4528.0,7695.0,13853.0,10009.0,1516.0,13386.0,432.0,1034.0,4095.0,254.0,1024.0,490.0,4852.0,40854.0,118.0
1009,57704.0,23850.0,20619.0,9441.0,1367.0,21033.0,7882.0,9921.0,13601.0,8538.0,1614.0,7122.0,1018.0,190.0,5467.0,391.0,816.0,552.0,6388.0,42597.0,154.0
1017,34018.0,16905.0,13851.0,6805.0,1136.0,21532.0,4708.0,6255.0,7283.0,5960.0,1354.0,14715.0,114.0,597.0,2695.0,555.0,1110.0,482.0,3979.0,27940.0,100.0
1031,50991.0,22862.0,19375.0,8219.0,1410.0,25325.0,5145.0,8048.0,12122.0,8942.0,2018.0,14598.0,716.0,218.0,2863.0,270.0,1126.0,616.0,5253.0,47236.0,131.0
1033,54377.0,26156.0,22105.0,8910.0,1795.0,23318.0,6344.0,10034.0,11735.0,10561.0,1879.0,11499.0,104.0,641.0,2478.0,150.0,1361.0,432.0,4932.0,56227.0,161.0
1039,37729.0,18783.0,15179.0,7031.0,1723.0,21738.0,5051.0,7613.0,8318.0,7858.0,1240.0,6220.0,211.0,174.0,3505.0,237.0,797.0,612.0,4617.0,37246.0,131.0
1043,81316.0,37150.0,31081.0,13718.0,2081.0,21041.0,10050.0,14435.0,18279.0,12621.0,2168.0,6128.0,746.0,901.0,7996.0,547.0,1264.0,1164.0,11704.0,79900.0,245.0
1045,49607.0,22839.0,18794.0,9897.0,2145.0,22834.0,4726.0,7654.0,11728.0,9865.0,1649.0,14787.0,395.0,304.0,4020.0,269.0,1198.0,1209.0,6130.0,49165.0,136.0
1051,80957.0,33322.0,28890.0,10893.0,2694.0,24771.0,7238.0,11243.0,18553.0,13201.0,2688.0,21301.0,635.0,894.0,5587.0,332.0,1291.0,4651.0,6665.0,66964.0,171.0
1055,103363.0,47504.0,39522.0,18713.0,3837.0,21287.0,12582.0,17947.0,22757.0,20277.0,3631.0,22294.0,1475.0,1515.0,5487.0,639.0,2513.0,1403.0,12365.0,100528.0,382.0
1067,17187.0,8950.0,6831.0,2586.0,574.0,22825.0,2359.0,3546.0,3632.0,3340.0,492.0,5403.0,115.0,86.0,2240.0,59.0,458.0,268.0,1940.0,14086.0,56.0
1069,103891.0,46385.0,39363.0,19415.0,3845.0,24086.0,10684.0,16673.0,24712.0,18250.0,4362.0,33814.0,733.0,1993.0,6857.0,479.0,2484.0,961.0,12482.0,110596.0,258.0
1071,52608.0,24773.0,19945.0,9780.0,1975.0,20487.0,7615.0,9707.0,11435.0,9241.0,1463.0,5528.0,262.0,243.0,5036.0,406.0,1012.0,664.0,6223.0,48668.0,200.0
1077,92641.0,44313.0,38361.0,16538.0,3249.0,24893.0,9559.0,16965.0,19004.0,14331.0,3025.0,13904.0,503.0,2227.0,4311.0,463.0,2891.0,2111.0,10115.0,85031.0,291.0
1079,33433.0,15181.0,13321.0,6050.0,1145.0,21911.0,5261.0,5400.0,7312.0,6792.0,1042.0,7804.0,40.0,146.0,3522.0,202.0,577.0,227.0,3669.0,24690.0,111.0
1083,90257.0,35515.0,32073.0,12290.0,3304.0,26086.0,10449.0,12555.0,21104.0,13193.0,2521.0,20365.0,1030.0,1174.0,4381.0,646.0,1458.0,2940.0,10913.0,80048.0,207.0
1089,349973.0,154710.0,139949.0,45287.0,13257.0,33264.0,21757.0,47834.0,78694.0,44203.0,11693.0,120982.0,4035.0,14916.0,6917.0,1752.0,6986.0,8478.0,35737.0,398197.0,737.0
1097,414291.0,181612.0,154261.0,78633.0,16358.0,23318.0,39097.0,60253.0,99395.0,61686.0,17206.0,174620.0,2869.0,14719.0,14882.0,2980.0,10477.0,10478.0,53381.0,433750.0,1125.0
1103,119555.0,51523.0,46164.0,19172.0,4964.0,24415.0,14363.0,18834.0,27705.0,20300.0,4574.0,27953.0,2435.0,2791.0,6055.0,942.0,2252.0,1912.0,14842.0,113656.0,349.0
1111,22615.0,11937.0,8691.0,4542.0,735.0,19584.0,3547.0,4386.0,5013.0,3515.0,792.0,5555.0,17.0,197.0,2731.0,346.0,540.0,473.0,2670.0,19867.0,99.0
1115,86576.0,35844.0,31832.0,11582.0,2626.0,24474.0,9919.0,13199.0,19941.0,14489.0,2124.0,11858.0,377.0,630.0,8444.0,284.0,935.0,2091.0,7611.0,70101.0,229.0
1117,205951.0,83622.0,75942.0,17227.0,4976.0,34117.0,11714.0,26716.0,50292.0,23196.0,4715.0,43464.0,3220.0,6290.0,7024.0,717.0,2236.0,2938.0,16686.0,196347.0,358.0
1123,40958.0,22058.0,16338.0,9431.0,1641.0,21410.0,5886.0,7993.0,8797.0,7275.0,1794.0,12667.0,145.0,857.0,3954.0,593.0,1405.0,620.0,4338.0,37572.0,144.0
2122,57637.0,30752.0,21481.0,6175.0,2451.0,32556.0,2874.0,8099.0,13284.0,7989.0,1876.0,10720.0,270.0,1047.0,1602.0,853.0,1384.0,1827.0,11386.0,57628.0,102.0
4021,397604.0,166455.0,130801.0,61430.0,14670.0,21982.0,40697.0,72473.0,96391.0,53230.0,11859.0,167448.0,13338.0,3472.0,32592.0,4833.0,5878.0,23506.0,43481.0,308537.0,613.0
5009,37301.0,16908.0,14883.0,6409.0,1404.0,21719.0,3926.0,7359.0,8275.0,7490.0,1202.0,2111.0,4.0,484.0,2279.0,380.0,882.0,516.0,4223.0,37683.0,155.0
5027,24168.0,11578.0,9518.0,5581.0,1044.0,19922.0,2231.0,4002.0,5179.0,4399.0,1119.0,9856.0,206.0,685.0,2301.0,189.0,606.0,1689.0,2744.0,25287.0,79.0
