,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths
17119,265670.0,119056.0,107413.0,35625.0,9236.0,30802.0,14564.0,43747.0,58568.0,36664.0,9073.0,39158.0,943.0,5795.0,3452.0,1517.0,7201.0,5519.0,13560.0,239676.0,721.0
17123,11794.0,5906.0,4893.0,1272.0,348.0,29827.0,614.0,2679.0,2374.0,1521.0,308.0,617.0,23.0,50.0,190.0,40.0,156.0,285.0,431.0,9560.0,43.0
17125,13778.0,7049.0,6027.0,2080.0,526.0,27111.0,1111.0,2992.0,2855.0,2368.0,560.0,470.0,1.0,57.0,605.0,58.0,320.0,233.0,646.0,10588.0,35.0
17127,14430.0,7153.0,6011.0,2550.0,332.0,23768.0,1414.0,3040.0,3200.0,2991.0,533.0,1665.0,22.0,151.0,1325.0,146.0,471.0,333.0,638.0,11768.0,48.0
17129,12367.0,5718.0,5198.0,1163.0,315.0,34495.0,578.0,2328.0,2734.0,1720.0,445.0,535.0,0.0,112.0,229.0,67.0,235.0,138.0,298.0,7501.0,23.0
17131,15693.0,7420.0,6624.0,1762.0,429.0,28995.0,961.0,3271.0,3397.0,1939.0,515.0,700.0,12.0,231.0,301.0,40.0,382.0,226.0,370.0,9491.0,48.0
17133,33936.0,14062.0,13349.0,1673.0,575.0,39988.0,953.0,5676.0,7657.0,3132.0,724.0,1214.0,155.0,360.0,347.0,96.0,495.0,256.0,977.0,24294.0,78.0
17141,51328.0,22660.0,20901.0,4998.0,1565.0,30595.0,3616.0,9132.0,11712.0,6180.0,1847.0,6647.0,1166.0,824.0,751.0,460.0,1003.0,576.0,2776.0,41464.0,119.0
17147,16427.0,7404.0,6700.0,970.0,372.0,33967.0,741.0,3103.0,3702.0,2068.0,398.0,601.0,13.0,155.0,243.0,23.0,182.0,79.0,604.0,12461.0,35.0
17149,15754.0,7992.0,6527.0,2114.0,395.0,24162.0,1245.0,3194.0,3544.0,2477.0,564.0,657.0,27.0,54.0,605.0,74.0,445.0,495.0,762.0,12478.0,51.0
17155,5746.0,3147.0,2395.0,501.0,112.0,34144.0,324.0,1273.0,1139.0,682.0,188.0,446.0,63.0,9.0,182.0,32.0,57.0,6.0,145.0,4722.0,13.0
17159,15881.0,7516.0,6482.0,2336.0,449.0,26038.0,1353.0,3138.0,3612.0,2617.0,479.0,728.0,71.0,295.0,816.0,28.0,414.0,308.0,703.0,14446.0,54.0
17161,145275.0,66116.0,60294.0,20807.0,4737.0,28595.0,11113.0,26629.0,32525.0,19188.0,6699.0,40642.0,3414.0,7256.0,1953.0,1195.0,4942.0,4824.0,8396.0,153010.0,374.0
17163,263463.0,119795.0,103063.0,42410.0,9118.0,29541.0,16396.0,38873.0,62455.0,33496.0,11022.0,100497.0,1733.0,7145.0,6970.0,1275.0,9683.0,3761.0,16991.0,227265.0,637.0
17167,197661.0,91420.0,83661.0,29431.0,6401.0,34548.0,10421.0,32977.0,44614.0,27102.0,8730.0,38635.0,696.0,7186.0,4481.0,1347.0,6887.0,4115.0,8295.0,216909.0,460.0
17173,21832.0,10584.0,9203.0,2423.0,501.0,25320.0,1213.0,4684.0,4669.0,2705.0,560.0,583.0,23.0,189.0,1130.0,141.0,387.0,216.0,933.0,16158.0,65.0
17175,5500.0,2652.0,2294.0,866.0,90.0,30225.0,354.0,1184.0,1199.0,699.0,176.0,233.0,4.0,12.0,101.0,16.0,77.0,102.0,356.0,4172.0,13.0
17179,133852.0,58768.0,54613.0,11205.0,2831.0,33077.0,6945.0,23863.0,30683.0,15644.0,4249.0,7902.0,400.0,3144.0,1199.0,674.0,3124.0,2655.0,4877.0,120539.0,336.0
