,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,Deaths
20001,12503.0,6351.0,5125.0,3205.0,257.0,1159.0,645.0,759.0,2582.0,2802.0,2269.0,317.0,0.0,1268.0,202.0,527.0,28.0,345.0,408.0,12532.0,2207.0,77.0,466.0,120.0,68.0,131.0,406.0,0.0,45.0
20003,7877.0,3751.0,3154.0,1838.0,170.0,630.0,555.0,982.0,1661.0,2028.0,1101.0,237.0,5.0,462.0,33.0,186.0,21.0,125.0,121.0,5514.0,2074.0,46.0,172.0,3.0,56.0,0.0,185.0,0.0,22.0
20005,16210.0,6959.0,6039.0,3146.0,312.0,1306.0,740.0,1200.0,2766.0,3781.0,2117.0,282.0,104.0,1944.0,451.0,384.0,62.0,502.0,1479.0,16068.0,2565.0,492.0,499.0,69.0,48.0,0.0,818.0,18.0,50.0
20007,4493.0,2727.0,1931.0,1317.0,56.0,441.0,242.0,430.0,980.0,1117.0,801.0,94.0,23.0,441.0,78.0,152.0,74.0,120.0,52.0,3575.0,955.0,22.0,253.0,28.0,68.0,0.0,69.0,1.0,25.0
20009,26209.0,12728.0,10628.0,6855.0,455.0,2489.0,2012.0,3355.0,5114.0,6220.0,3900.0,690.0,528.0,5001.0,432.0,1103.0,78.0,704.0,486.0,25912.0,3844.0,249.0,3947.0,49.0,184.0,62.0,484.0,26.0,66.0
20011,14539.0,7122.0,5921.0,4051.0,234.0,1367.0,904.0,1421.0,2910.0,3691.0,2629.0,235.0,24.0,1507.0,243.0,543.0,165.0,276.0,415.0,14532.0,2076.0,423.0,405.0,47.0,18.0,0.0,578.0,36.0,43.0
20013,9575.0,4748.0,3757.0,2403.0,216.0,783.0,467.0,845.0,1893.0,2448.0,1530.0,180.0,5.0,1680.0,140.0,138.0,60.0,166.0,113.0,9148.0,1636.0,71.0,482.0,20.0,817.0,4.0,286.0,0.0,28.0
20015,66890.0,27086.0,24833.0,11073.0,1337.0,5417.0,3121.0,4591.0,10137.0,17054.0,8632.0,1380.0,168.0,7986.0,924.0,1986.0,419.0,1221.0,2976.0,61597.0,6990.0,1565.0,3376.0,788.0,495.0,21.0,1735.0,6.0,137.0
20019,3280.0,2144.0,1418.0,1080.0,91.0,269.0,349.0,422.0,821.0,682.0,748.0,73.0,2.0,484.0,31.0,349.0,76.0,98.0,64.0,2461.0,862.0,38.0,135.0,11.0,139.0,0.0,161.0,0.0,10.0
20021,20017.0,9891.0,7954.0,5398.0,206.0,1655.0,1610.0,1875.0,3859.0,4754.0,4488.0,521.0,2.0,2480.0,164.0,865.0,147.0,778.0,231.0,15841.0,3508.0,63.0,562.0,35.0,383.0,105.0,1325.0,7.0,69.0
20023,2639.0,1511.0,1263.0,620.0,28.0,248.0,128.0,296.0,703.0,556.0,404.0,72.0,37.0,203.0,13.0,68.0,12.0,63.0,33.0,2050.0,258.0,0.0,183.0,0.0,17.0,0.0,3.0,0.0,12.0
20027,8030.0,4097.0,3741.0,1386.0,99.0,942.0,350.0,432.0,1995.0,1844.0,1335.0,254.0,19.0,512.0,209.0,118.0,79.0,192.0,144.0,6931.0,1829.0,81.0,213.0,46.0,80.0,0.0,92.0,0.0,22.0
20029,8831.0,4588.0,3641.0,2266.0,141.0,771.0,350.0,822.0,1861.0,2132.0,1146.0,218.0,23.0,654.0,102.0,102.0,10.0,152.0,330.0,8726.0,1533.0,136.0,298.0,8.0,29.0,0.0,176.0,7.0,31.0
20031,8218.0,4105.0,3648.0,1650.0,198.0,621.0,385.0,657.0,1771.0,1736.0,1402.0,245.0,0.0,566.0,70.0,380.0,71.0,161.0,123.0,8067.0,949.0,78.0,238.0,48.0,15.0,0.0,187.0,0.0,28.0
20035,35090.0,16223.0,13800.0,7773.0,829.0,2684.0,2037.0,3182.0,6406.0,8292.0,5768.0,918.0,370.0,7345.0,489.0,1545.0,232.0,802.0,2158.0,33247.0,4895.0,832.0,3904.0,651.0,481.0,2.0,1461.0,14.0,99.0
