,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Dem_Percent,Rep_Percent,Deaths
1045,50013.0,22793.0,19470.0,9114.0,2323.0,22368.0,5062.0,7138.0,12064.0,9127.0,1848.0,14897.0,337.0,379.0,4243.0,279.0,1118.0,1239.0,6124.0,54494.0,0.17470734134820456,0.78997509176027,117.0
1047,42743.0,20216.0,16259.0,15163.0,3059.0,17614.0,6183.0,6319.0,11026.0,8700.0,2663.0,30492.0,45.0,236.0,3886.0,1099.0,2385.0,581.0,6188.0,46606.0,0.17470734134820456,0.78997509176027,153.0
1049,71074.0,31043.0,24743.0,14128.0,2893.0,18416.0,12650.0,10414.0,17855.0,11299.0,1819.0,13475.0,2975.0,485.0,7137.0,874.0,1068.0,864.0,12191.0,67188.0,0.17470734134820456,0.78997509176027,227.0
1051,80321.0,32985.0,28617.0,9700.0,3229.0,24185.0,6924.0,10289.0,18540.0,11371.0,2798.0,20887.0,646.0,964.0,5758.0,260.0,1244.0,5248.0,7986.0,66780.0,0.17470734134820456,0.78997509176027,206.0
1053,38042.0,16431.0,13737.0,9309.0,2371.0,16673.0,5554.0,6015.0,8498.0,7129.0,1879.0,14863.0,58.0,226.0,3473.0,200.0,883.0,2608.0,7284.0,38606.0,0.17470734134820456,0.78997509176027,111.0
1055,104126.0,47507.0,40001.0,20059.0,4834.0,20445.0,12837.0,17165.0,23429.0,20560.0,3775.0,22172.0,1103.0,1659.0,5435.0,719.0,2791.0,1541.0,14899.0,105799.0,0.17470734134820456,0.78997509176027,373.0
1057,17019.0,8415.0,6967.0,3492.0,774.0,19040.0,2853.0,3152.0,3721.0,4154.0,691.0,2460.0,13.0,222.0,1762.0,50.0,826.0,330.0,2026.0,15407.0,0.17470734134820456,0.78997509176027,47.0
1059,31663.0,14038.0,12247.0,7601.0,1302.0,18559.0,5416.0,4975.0,7701.0,5890.0,1396.0,6693.0,1909.0,502.0,2313.0,535.0,749.0,325.0,5570.0,30278.0,0.17470734134820456,0.78997509176027,98.0
1061,26816.0,12666.0,10898.0,5983.0,1281.0,20027.0,4108.0,4896.0,5952.0,5878.0,1120.0,4234.0,298.0,70.0,3615.0,276.0,636.0,241.0,4094.0,22159.0,0.17470734134820456,0.78997509176027,77.0
1063,8798.0,4991.0,3282.0,3204.0,859.0,13956.0,1468.0,1487.0,2068.0,2183.0,389.0,7239.0,9.0,260.0,1995.0,124.0,401.0,52.0,1323.0,8245.0,0.17470734134820456,0.78997509176027,43.0
1065,15393.0,7646.0,5931.0,4213.0,809.0,18774.0,2130.0,2525.0,3677.0,3279.0,845.0,9265.0,69.0,203.0,2568.0,106.0,842.0,300.0,1883.0,12698.0,0.17470734134820456,0.78997509176027,54.0
1067,17270.0,8934.0,6900.0,2526.0,830.0,22682.0,2519.0,3312.0,3753.0,3300.0,538.0,5503.0,182.0,114.0,2212.0,57.0,480.0,209.0,2170.0,14363.0,0.17470734134820456,0.78997509176027,50.0
1069,103079.0,45844.0,39464.0,18730.0,3901.0,23492.0,10952.0,15736.0,24856.0,17741.0,4494.0,33020.0,728.0,1462.0,6827.0,478.0,2519.0,1033.0,14016.0,110893.0,0.17470734134820456,0.78997509176027,227.0
1071,53012.0,24770.0,20425.0,9567.0,2427.0,20055.0,9187.0,9204.0,11708.0,9713.0,1629.0,5476.0,335.0,301.0,5798.0,334.0,1074.0,624.0,8442.0,47809.0,0.17470734134820456,0.78997509176027,197.0
1073,658834.0,302599.0,259397.0,120510.0,32049.0,26896.0,54313.0,89827.0,153288.0,94584.0,28017.0,321442.0,9355.0,41730.0,10265.0,3683.0,20751.0,15592.0,81336.0,764275.0,0.17470734134820456,0.78997509176027,1560.0
1075,14268.0,7323.0,6147.0,3195.0,591.0,19094.0,2237.0,2731.0,3094.0,3282.0,647.0,1998.0,78.0,98.0,1289.0,141.0,403.0,249.0,1768.0,13015.0,0.17470734134820456,0.78997509176027,45.0
1077,92780.0,44046.0,38691.0,16944.0,3444.0,23975.0,10016.0,16246.0,19441.0,14539.0,3219.0,13846.0,700.0,2087.0,4044.0,296.0,2741.0,2013.0,11045.0,89004.0,0.17470734134820456,0.78997509176027,232.0
1079,33835.0,15181.0,13312.0,5751.0,1657.0,21093.0,5130.0,5210.0,7585.0,6928.0,1142.0,7936.0,38.0,152.0,3514.0,132.0,626.0,226.0,4294.0,26587.0,0.17470734134820456,0.78997509176027,108.0
1081,147790.0,64258.0,56637.0,33625.0,6162.0,24126.0,10676.0,14264.0,32480.0,16950.0,4849.0,46396.0,2350.0,8039.0,11983.0,990.0,2999.0,5446.0,16528.0,153432.0,0.17470734134820456,0.78997509176027,231.0
1083,87167.0,35241.0,32156.0,11684.0,3384.0,25658.0,10367.0,11290.0,20572.0,11090.0,2628.0,19317.0,1227.0,962.0,4473.0,613.0,1310.0,3954.0,10768.0,74913.0,0.17470734134820456,0.78997509176027,239.0
1085,10918.0,5111.0,4287.0,3165.0,720.0,18046.0,1988.0,1728.0,2574.0,2228.0,608.0,8164.0,3.0,14.0,1685.0,131.0,526.0,93.0,1696.0,9738.0,0.17470734134820456,0.78997509176027,31.0
1087,20505.0,10239.0,8039.0,4840.0,1761.0,17113.0,2356.0,3148.0,3926.0,3666.0,1138.0,17250.0,110.0,267.0,2203.0,167.0,1107.0,2136.0,2796.0,22215.0,0.17470734134820456,0.78997509176027,77.0
1089,343229.0,150712.0,135409.0,44895.0,17171.0,32307.0,22776.0,44299.0,78996.0,42199.0,11696.0,117341.0,4231.0,14245.0,7599.0,1980.0,6885.0,7843.0,41483.0,378516.0,0.17470734134820456,0.78997509176027,801.0
1091,20489.0,10226.0,8477.0,5054.0,890.0,22529.0,2185.0,3635.0,4783.0,4567.0,998.0,11100.0,38.0,236.0,2344.0,115.0,1027.0,227.0,2454.0,21452.0,0.17470734134820456,0.78997509176027,96.0
1093,30527.0,14728.0,12602.0,5738.0,1485.0,20125.0,5451.0,5854.0,6416.0,7269.0,967.0,2422.0,104.0,278.0,3053.0,185.0,726.0,821.0,3563.0,29774.0,0.17470734134820456,0.78997509176027,116.0
1095,94121.0,40329.0,34524.0,18479.0,3965.0,20975.0,14318.0,14604.0,23316.0,16277.0,3467.0,15972.0,4321.0,814.0,6370.0,1179.0,1985.0,1078.0,16495.0,92846.0,0.17470734134820456,0.78997509176027,286.0
1097,414045.0,180277.0,154400.0,80412.0,21143.0,23009.0,41121.0,56779.0,101244.0,61821.0,17752.0,172036.0,3568.0,12903.0,15343.0,3126.0,10892.0,9940.0,62329.0,438219.0,0.17470734134820456,0.78997509176027,1012.0
1099,22509.0,11308.0,8390.0,6496.0,1673.0,16273.0,3229.0,3800.0,5493.0,3428.0,831.0,10176.0,7.0,181.0,2695.0,80.0,973.0,230.0,3776.0,23979.0,0.17470734134820456,0.78997509176027,62.0
1101,228850.0,102603.0,89143.0,48575.0,9706.0,25089.0,22135.0,28702.0,55903.0,34899.0,12716.0,143450.0,3711.0,7859.0,4236.0,1503.0,7324.0,7523.0,30008.0,286746.0,0.17470734134820456,0.78997509176027,435.0
1103,119744.0,51333.0,45856.0,17858.0,6363.0,24222.0,14785.0,17866.0,28134.0,18687.0,4524.0,27469.0,2620.0,2707.0,5657.0,1147.0,2474.0,1799.0,18703.0,115588.0,0.17470734134820456,0.78997509176027,326.0
1105,10203.0,4705.0,3263.0,3534.0,569.0,12988.0,1901.0,1880.0,2384.0,2817.0,542.0,7158.0,53.0,176.0,1115.0,269.0,472.0,739.0,1639.0,10486.0,0.17470734134820456,0.78997509176027,41.0
