ST_ABBR,E_TOTPOP,E_HU,E_HH,E_POV150,E_UNEMP,E_HBURD,E_NOHSDP,E_UNINSUR,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_LIMENG,E_MINRTY,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_DAYPOP,E_NOINT,E_AFAM,E_HISP,E_ASIAN,E_AIAN,E_NHPI,E_TWOMORE,E_OTHERRACE,Deaths
MD,6037624.0,2459650.0,2230527.0,865471.0,167571.0,574605.0,393028.0,352186.0,930875.0,1340766.0,659640.0,153386.0,182068.0,3009130.0,418761.0,32954.0,50481.0,196074.0,140207.0,5769022.0,508575.0,1773702.0,619418.0,382027.0,11223.0,1954.0,196537.0,24269.0,12624.0
ME,1340825.0,746793.0,569551.0,250932.0,28442.0,143595.0,66525.0,101045.0,276567.0,250967.0,210077.0,27076.0,6206.0,98712.0,37720.0,62296.0,8195.0,38549.0,36347.0,1302659.0,151699.0,17761.0,23143.0,15157.0,8011.0,159.0,32198.0,2283.0,3035.0
MI,9971805.0,4609440.0,3979329.0,2128271.0,298094.0,995940.0,596263.0,528211.0,1712088.0,2161457.0,1400513.0,248295.0,134736.0,2545215.0,405106.0,248264.0,63907.0,300135.0,225730.0,9790429.0,1155603.0,1342577.0,521174.0,314736.0,42921.0,2675.0,293885.0,27247.0,27123.0
MN,5590759.0,2449921.0,2203667.0,870830.0,117026.0,505521.0,252034.0,251501.0,885233.0,1297467.0,602719.0,122413.0,102234.0,1176544.0,392582.0,78256.0,49864.0,145201.0,130519.0,5689355.0,499613.0,354509.0,307394.0,273047.0,47842.0,1904.0,174354.0,17494.0,8549.0
MO,6117236.0,2801022.0,2437717.0,1292320.0,138608.0,587678.0,392280.0,563336.0,1031977.0,1377569.0,864072.0,154237.0,51755.0,1297001.0,234314.0,166280.0,44001.0,161658.0,172457.0,6100584.0,779473.0,692497.0,262629.0,122503.0,20642.0,7876.0,178016.0,12838.0,15920.0
MS,2980612.0,1330314.0,1116187.0,889487.0,95353.0,278308.0,290695.0,349921.0,473994.0,707055.0,481463.0,100046.0,20899.0,1300150.0,63736.0,196599.0,26441.0,71160.0,94113.0,2931218.0,565875.0,1117955.0,94330.0,29561.0,12897.0,1090.0,39178.0,5139.0,8806.0
MT,1032609.0,495877.0,423052.0,221896.0,22229.0,110627.0,42825.0,85346.0,190915.0,222525.0,139002.0,21180.0,2462.0,150434.0,32820.0,49604.0,7996.0,21359.0,28373.0,1021940.0,127405.0,4916.0,40602.0,8328.0,62091.0,552.0,32289.0,1656.0,2349.0
NC,10377160.0,4681635.0,4027884.0,2374895.0,278193.0,1051064.0,813673.0,1082812.0,1686451.0,2299977.0,1361804.0,277375.0,221850.0,3878928.0,424007.0,580131.0,89887.0,223786.0,277966.0,10432888.0,1325495.0,2179713.0,990199.0,306121.0,108193.0,6249.0,258122.0,30331.0,20356.0
ND,710156.0,345484.0,298195.0,120714.0,12422.0,63820.0,31071.0,50178.0,104271.0,167151.0,74808.0,15625.0,4348.0,119984.0,76218.0,23841.0,6582.0,15785.0,24202.0,769368.0,87150.0,23084.0,28909.0,11613.0,36163.0,953.0,18085.0,1177.0,1337.0
NE,1882709.0,819114.0,748430.0,335941.0,34767.0,173672.0,104338.0,150957.0,291762.0,466203.0,213015.0,45034.0,47075.0,414244.0,99134.0,25074.0,14763.0,40265.0,50472.0,1947846.0,184976.0,89589.0,213385.0,47420.0,13255.0,1019.0,46996.0,2580.0,3416.0
