ST_ABBR,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths,"Deaths per 100,000 Population"
MS,2983066.0,1284262.0,1092200.0,653412.0,147145.0,1515239.0,348104.0,402943.0,743105.0,477118.0,135228.0,1264776.0,23489.0,54462.0,195043.0,31053.0,75313.0,94559.0,489640.0,3022931.0,7535.0,252.59246694508266
MT,951968.0,456642.0,385303.0,142575.0,33983.0,878661.0,47923.0,146822.0,212365.0,121785.0,30409.0,125230.0,2524.0,25497.0,49419.0,7906.0,20263.0,27162.0,157198.0,955460.0,1865.0,195.90994655282532
NC,9746186.0,4383688.0,3741059.0,1668318.0,505383.0,2218645.0,946500.0,1345411.0,2283392.0,1279743.0,377912.0,3454064.0,244994.0,349775.0,592245.0,91251.0,244782.0,254306.0,1478404.0,9700605.0,17586.0,180.43981512357757
ND,653886.0,303458.0,270887.0,75915.0,11657.0,993391.0,35853.0,90502.0,147181.0,66551.0,20955.0,82302.0,3283.0,53134.0,23242.0,4134.0,15495.0,25188.0,59973.0,682995.0,1274.0,194.83518533811704
NE,1790850.0,769281.0,703631.0,223867.0,53772.0,1622099.0,110823.0,243745.0,448675.0,191444.0,62982.0,345132.0,47715.0,90395.0,25664.0,14622.0,40332.0,49304.0,193632.0,1867566.0,3176.0,177.34595303905965
NH,1321069.0,617286.0,519580.0,113374.0,48029.0,314234.0,73490.0,193884.0,275726.0,153720.0,41291.0,110123.0,12301.0,56233.0,36204.0,7136.0,27444.0,40440.0,134254.0,1296260.0,2464.0,186.51561727661462
NJ,8874374.0,3572138.0,3188498.0,934665.0,453097.0,753595.0,702498.0,1249264.0,2036084.0,893672.0,283494.0,3742806.0,531869.0,547835.0,34201.0,106109.0,373136.0,186539.0,1098747.0,8909017.0,18319.0,206.42582789501546
NM,2059762.0,894063.0,757779.0,421983.0,92467.0,594850.0,215192.0,290843.0,506720.0,287947.0,85045.0,1243335.0,93155.0,59092.0,145812.0,27170.0,43353.0,41964.0,366591.0,2042816.0,3386.0,164.38792443010408
NV,2742177.0,1176222.0,998713.0,421007.0,165163.0,313122.0,277654.0,358934.0,657044.0,325935.0,106785.0,1301763.0,157792.0,167225.0,65800.0,42910.0,79265.0,34389.0,550558.0,2811068.0,5729.0,208.92159769409488
NY,19594330.0,8153309.0,7255528.0,2978521.0,893092.0,1736749.0,1949187.0,2755172.0,4272232.0,2120273.0,694780.0,8373947.0,1324386.0,2233608.0,196156.0,357545.0,2128870.0,583264.0,2052554.0,19858316.0,43116.0,220.04324720467605
