ST_ABBR,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths,"Deaths per 100,000 Population"
AK,667469.0,273025.0,228441.0,63144.0,27188.0,401979.0,31110.0,62459.0,170228.0,72224.0,22606.0,243713.0,9531.0,21044.0,12268.0,13916.0,19263.0,22177.0,103654.0,671187.0,765.0,114.61206438051805
AL,4841164.0,2209335.0,1851061.0,868666.0,184479.0,1422594.0,496036.0,742394.0,1105189.0,777592.0,178209.0,1636829.0,51759.0,155936.0,295722.0,31333.0,119374.0,118341.0,552918.0,4871021.0,12832.0,265.06022105427536
AR,2968472.0,1341391.0,1141480.0,542431.0,93190.0,1544375.0,292228.0,464987.0,707234.0,492769.0,108751.0,790572.0,44028.0,84757.0,167777.0,29803.0,72981.0,83163.0,359572.0,2990687.0,8090.0,272.53078351421203
AZ,6728577.0,2913541.0,2448919.0,1165636.0,249972.0,326795.0,611243.0,1070151.0,1619618.0,833586.0,237676.0,2950701.0,320154.0,336369.0,309197.0,109307.0,164945.0,152762.0,902079.0,6660107.0,11957.0,177.70473608312724
CA,38638971.0,13895966.0,12802094.0,6002814.0,1683006.0,1625654.0,4571407.0,4974880.0,9137226.0,4026941.0,1210057.0,23811787.0,3717321.0,2355758.0,516258.0,1050194.0,974283.0,815630.0,4801235.0,38806064.0,61561.0,159.3236010348205
CO,5267357.0,2217253.0,2015547.0,625205.0,168333.0,1327813.0,318305.0,663278.0,1229397.0,539350.0,167221.0,1643496.0,156498.0,364659.0,89442.0,52603.0,109938.0,110153.0,560337.0,5410306.0,7166.0,136.04545885156446
CT,3588570.0,1493798.0,1354713.0,360464.0,155005.0,303985.0,242932.0,555023.0,773652.0,384525.0,120035.0,1124120.0,127308.0,182616.0,11534.0,24789.0,122629.0,116867.0,252215.0,3562829.0,7051.0,196.48495082999634
DC,659009.0,306711.0,276546.0,112060.0,33326.0,48781.0,46510.0,75166.0,114685.0,73230.0,25609.0,423287.0,14878.0,140304.0,85.0,9930.0,100656.0,39967.0,33419.0,1134734.0,1375.0,208.64661939366533
DE,934695.0,417927.0,348051.0,109448.0,33669.0,88988.0,71746.0,153833.0,204192.0,113138.0,32644.0,341130.0,19098.0,41870.0,36608.0,5943.0,22235.0,25152.0,68777.0,972524.0,1974.0,211.19188612328085
FL,19934451.0,9152815.0,7393262.0,3139258.0,802016.0,1619019.0,1807386.0,3797625.0,4066276.0,2615568.0,658684.0,8854025.0,1216654.0,1761732.0,830351.0,215436.0,511316.0,432436.0,3211340.0,19999222.0,45659.0,229.04568578286904
GA,10072353.0,4143840.0,3602306.0,1740948.0,418215.0,3265580.0,928260.0,1241978.0,2489447.0,1219148.0,388094.0,4621198.0,278912.0,431153.0,379085.0,84146.0,247036.0,258158.0,1560373.0,10080720.0,18093.0,179.63032074034737
HI,1413582.0,530191.0,451975.0,148566.0,38768.0,117411.0,84935.0,227593.0,308215.0,152524.0,30852.0,1097326.0,62717.0,128358.0,956.0,40704.0,38059.0,43966.0,70692.0,1421331.0,2488.0,176.00676862042667
IA,3106589.0,1362619.0,1242641.0,369828.0,75289.0,2708677.0,169966.0,490781.0,727514.0,356817.0,105993.0,404989.0,45501.0,126746.0,50426.0,19811.0,70658.0,100093.0,194710.0,3179030.0,6937.0,223.29957390565664
ID,1592276.0,663075.0,579875.0,238551.0,47251.0,757732.0,102114.0,226158.0,420117.0,204228.0,48041.0,273431.0,30945.0,36111.0,55936.0,15958.0,24730.0,29434.0,211419.0,1574692.0,2910.0,182.75726067591296
IL,12851684.0,5310327.0,4802124.0,1753731.0,545635.0,2669380.0,1008608.0,1784097.0,2990629.0,1376858.0,427314.0,4854828.0,539505.0,758914.0,134336.0,125595.0,519694.0,300649.0,1233486.0,12997641.0,25013.0,194.62819036011155
IN,6589578.0,2830669.0,2513828.0,957694.0,228929.0,2280467.0,517458.0,940323.0,1581992.0,883589.0,242665.0,1304898.0,93121.0,223408.0,139337.0,44956.0,171269.0,188946.0,747942.0,6657877.0,13952.0,211.72827759228284
KS,2835897.0,1217441.0,1091011.0,365880.0,78020.0,2105103.0,176587.0,403290.0,705680.0,345274.0,96173.0,659323.0,57061.0,103965.0,54600.0,22271.0,60451.0,77784.0,290386.0,2910844.0,5553.0,195.81106083895148
KY,4409798.0,1949943.0,1717256.0,803619.0,156457.0,2535478.0,455782.0,652436.0,1013799.0,745571.0,161452.0,645562.0,41450.0,124525.0,236153.0,31904.0,133264.0,130854.0,415647.0,4501786.0,10511.0,238.35558907686928
