ST_ABBR,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths,"Deaths per 100,000 Population"
LA,4645670.0,2011700.0,1731398.0,889570.0,168326.0,1433199.0,496210.0,633725.0,1114022.0,681837.0,200571.0,1891027.0,61430.0,143044.0,265977.0,41500.0,146200.0,128553.0,641160.0,4769183.0,10943.0,235.55267593264267
MA,6742143.0,2836658.0,2558889.0,740836.0,252347.0,513302.0,462385.0,1016679.0,1390552.0,773726.0,214690.0,1772132.0,284404.0,421711.0,23631.0,48103.0,321078.0,250592.0,214158.0,7111339.0,11921.0,176.81321799315143
MD,5959902.0,2421909.0,2177492.0,576835.0,216086.0,810159.0,420756.0,820050.0,1347810.0,625691.0,206928.0,2831512.0,175323.0,408784.0,36138.0,46510.0,201241.0,140331.0,475885.0,5738778.0,11390.0,191.11052497171931
ME,1329923.0,727127.0,551109.0,174405.0,41620.0,423938.0,77305.0,242251.0,259501.0,208854.0,45034.0,83317.0,7408.0,34151.0,62116.0,7992.0,41105.0,35805.0,124723.0,1300011.0,2907.0,218.58408343941718
MI,9907405.0,4542444.0,3859371.0,1574695.0,412873.0,1997866.0,676371.0,1527015.0,2227399.0,1393828.0,353715.0,2406473.0,137650.0,391819.0,240882.0,63199.0,309573.0,229170.0,823368.0,9752113.0,25301.0,255.37464149290355
MN,5432582.0,2373384.0,2128222.0,574134.0,145231.0,2412695.0,268656.0,776024.0,1277246.0,570766.0,177967.0,1013981.0,108533.0,365771.0,79440.0,45275.0,149411.0,134190.0,326555.0,5622491.0,7801.0,143.59654396380947
MO,6057590.0,2737501.0,2371445.0,897493.0,200100.0,2512125.0,454719.0,929438.0,1394709.0,858143.0,216326.0,1209004.0,54588.0,218882.0,173348.0,38576.0,172940.0,174787.0,673096.0,6071780.0,14574.0,240.59072997677296
MS,2987840.0,1294687.0,1098325.0,645122.0,128797.0,1569672.0,331913.0,426380.0,732027.0,477897.0,132634.0,1278244.0,21593.0,57818.0,193156.0,30791.0,74912.0,94058.0,427681.0,2984891.0,7864.0,263.20017136125097
MT,992727.0,472494.0,399642.0,144740.0,28799.0,994861.0,47559.0,163828.0,218691.0,131726.0,30172.0,132945.0,2622.0,26718.0,51350.0,8470.0,20782.0,28278.0,134261.0,992367.0,2067.0,208.21434291602827
NC,9940828.0,4453767.0,3815392.0,1631704.0,404584.0,2317385.0,914827.0,1459330.0,2287826.0,1331570.0,370094.0,3579390.0,243325.0,367793.0,590302.0,92217.0,240158.0,254440.0,1290195.0,9951705.0,18266.0,183.74726934215136
ND,698829.0,327728.0,288588.0,75867.0,10832.0,1183164.0,35298.0,96162.0,159908.0,72930.0,22421.0,97752.0,4045.0,61768.0,24711.0,5683.0,15535.0,25636.0,58857.0,774744.0,1262.0,180.58781189675872
NE,1841582.0,792252.0,724416.0,222515.0,42016.0,1854937.0,111852.0,262684.0,458833.0,202628.0,62854.0,367924.0,48599.0,91710.0,26571.0,15058.0,41491.0,51251.0,175170.0,1942997.0,3222.0,174.95826957474605
NH,1327503.0,620729.0,521373.0,109690.0,37727.0,327807.0,69274.0,210385.0,266979.0,161401.0,40197.0,116232.0,12033.0,57789.0,36008.0,7186.0,27477.0,41888.0,110652.0,1296069.0,2631.0,198.1916425047627
NJ,8915456.0,3586442.0,3195014.0,949341.0,368870.0,778204.0,678613.0,1312291.0,2009813.0,917275.0,276622.0,3860845.0,525858.0,550491.0,34518.0,100064.0,369725.0,187355.0,938966.0,8864123.0,18597.0,208.59280781599952
NM,2063159.0,899325.0,755522.0,422810.0,80764.0,602722.0,208975.0,313779.0,497936.0,301283.0,81754.0,1266399.0,88805.0,60019.0,146836.0,27386.0,44221.0,42149.0,291327.0,2045880.0,3763.0,182.39020841340877
NV,2825742.0,1193998.0,1025713.0,415894.0,133280.0,351783.0,278759.0,398181.0,662372.0,360970.0,104969.0,1380683.0,164646.0,174490.0,63524.0,43775.0,81468.0,35296.0,451592.0,2890651.0,6433.0,227.65701893520358
NY,19697457.0,8191568.0,7266187.0,2967564.0,759224.0,1794013.0,1900892.0,2893801.0,4226409.0,2187789.0,666944.0,8586143.0,1326595.0,2272804.0,192890.0,368693.0,2123991.0,578635.0,1668092.0,20431164.0,44076.0,223.76492559420234
OH,11586941.0,5146944.0,4601449.0,1732839.0,423956.0,2216745.0,825155.0,1796337.0,2639860.0,1571654.0,445534.0,2321818.0,109977.0,481941.0,195564.0,60501.0,387532.0,311388.0,970187.0,11808391.0,27410.0,236.5594163291243
OK,3862990.0,1692559.0,1456674.0,619376.0,109924.0,1695879.0,321547.0,559473.0,949159.0,592671.0,142972.0,1278578.0,75604.0,123563.0,160865.0,40563.0,82721.0,109759.0,592390.0,3938470.0,10177.0,263.44877931343336
OR,3978985.0,1704265.0,1544261.0,613738.0,160651.0,861572.0,276267.0,633630.0,860782.0,577241.0,129177.0,915466.0,117291.0,199171.0,141090.0,48111.0,122209.0,88076.0,410379.0,4045106.0,6963.0,174.9943767066224
PA,12783977.0,5592175.0,4961929.0,1647762.0,468440.0,1787959.0,925686.0,2133247.0,2704268.0,1719069.0,412430.0,2849176.0,239609.0,469032.0,223754.0,67449.0,554548.0,429151.0,1000216.0,12837701.0,31990.0,250.2351185394029
RI,1054491.0,462657.0,410240.0,140161.0,43600.0,183908.0,94558.0,166517.0,212406.0,136002.0,40011.0,274213.0,45083.0,54282.0,4687.0,6716.0,40432.0,42148.0,83430.0,1058819.0,2256.0,213.94208200923478
SC,4834605.0,2192041.0,1839041.0,806422.0,194454.0,1016872.0,456087.0,761680.0,1085779.0,691835.0,181561.0,1747398.0,64790.0,179685.0,364076.0,33096.0,123699.0,136983.0,627973.0,4888376.0,10195.0,210.8755523977657
SD,769916.0,340980.0,305319.0,96720.0,15446.0,1097511.0,42636.0,116335.0,186015.0,91845.0,27020.0,115505.0,7700.0,37340.0,27675.0,5970.0,15399.0,31826.0,72182.0,798489.0,1582.0,205.4769611230316
TN,6548009.0,2873478.0,2522204.0,1100169.0,238372.0,2106259.0,620548.0,984449.0,1494925.0,989612.0,236258.0,1668340.0,89254.0,224950.0,268466.0,51767.0,157552.0,153855.0,757920.0,6712979.0,15429.0,235.62887589189324
TX,26858809.0,10392927.0,9255962.0,4381799.0,845660.0,5158125.0,2997942.0,3079081.0,7108057.0,3068341.0,982263.0,15199549.0,1922822.0,1527889.0,755104.0,451797.0,521407.0,595256.0,5094937.0,27883009.0,43603.0,162.34152452552902
UT,2929360.0,1010684.0,912087.0,336359.0,72765.0,549012.0,143584.0,292015.0,899740.0,276929.0,69275.0,607355.0,65888.0,107715.0,35062.0,32649.0,39626.0,45155.0,347220.0,3052514.0,3599.0,122.85960073190047
VA,8292244.0,3438460.0,3084327.0,920021.0,254937.0,3637339.0,636572.0,1142960.0,1860938.0,913746.0,263948.0,3055136.0,199834.0,443018.0,177028.0,61208.0,196589.0,242265.0,860614.0,8364664.0,14118.0,170.25548211075315
VT,626249.0,326812.0,257107.0,69673.0,17087.0,410167.0,35440.0,106193.0,121691.0,87058.0,20297.0,41095.0,3253.0,17948.0,22229.0,4672.0,17252.0,25402.0,32809.0,624419.0,1366.0,218.12410079696735
WA,7070915.0,2965604.0,2695654.0,883006.0,244650.0,1012056.0,452437.0,992341.0,1604055.0,889528.0,219149.0,2094598.0,250266.0,445756.0,201132.0,84556.0,188788.0,141441.0,684591.0,7229739.0,11159.0,157.81550195413183
WI,5750341.0,2647374.0,2309031.0,712023.0,169243.0,1941238.0,335828.0,874658.0,1300032.0,670582.0,201118.0,1023193.0,80538.0,273749.0,93981.0,40123.0,162020.0,148267.0,407515.0,5796979.0,11518.0,200.30116474831667
WV,1846092.0,884728.0,739397.0,318060.0,61215.0,1219077.0,190148.0,328124.0,379848.0,355250.0,59794.0,139936.0,6001.0,38403.0,133588.0,10466.0,65281.0,48795.0,174780.0,1864417.0,4767.0,258.2211504085387
WY,580531.0,266706.0,226004.0,65466.0,15113.0,657102.0,29256.0,80251.0,138339.0,71734.0,18730.0,90908.0,5332.0,15537.0,36227.0,4604.0,8301.0,13935.0,73061.0,590012.0,1044.0,179.8353576294806
