,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,E_UNINSUR,E_DAYPOP,Deaths,"Deaths per 100,000 Population",C-E_TOTPOP,C-E_HU,C-E_HH,C-E_POV,C-E_UNEMP,C-E_NOHSDP,C-E_AGE65,C-E_AGE17,C-E_DISABL,C-E_SNGPNT,C-E_MINRTY,C-E_LIMENG,C-E_MUNIT,C-E_MOBILE,C-E_CROWD,C-E_NOVEH,C-E_GROUPQ,C-E_UNINSUR,C-E_DAYPOP,C-Deaths,"C-Deaths per 100,000 Population",Risk Category
20115_2016,12213.0,5932.0,4812.0,1243.0,280.0,839.0,2749.0,2637.0,1764.0,185.0,819.0,30.0,108.0,390.0,69.0,188.0,773.0,914.0,10546.0,37.0,302.95586669941866,-188.0,-7.0,-33.0,-165.0,-74.0,-118.0,49.0,-87.0,-221.0,-92.0,60.0,0.0,-45.0,89.0,10.0,-20.0,4.0,-171.0,-16.0,8.0,69.10375799850743,1
20115_2018,12032.0,5993.0,4789.0,1047.0,259.0,754.0,2743.0,2604.0,1883.0,203.0,860.0,13.0,115.0,336.0,53.0,212.0,797.0,695.0,10085.0,35.0,290.8909574468085,-181.0,61.0,-23.0,-196.0,-21.0,-85.0,-6.0,-33.0,119.0,18.0,41.0,-17.0,7.0,-54.0,-16.0,24.0,24.0,-219.0,-461.0,-2.0,-12.064909252610164,1
20115_2020,11865.0,6002.0,4838.0,2076.0,237.0,726.0,2762.0,2514.0,1685.0,196.0,906.0,18.0,104.0,266.0,40.0,188.0,800.0,806.0,9676.0,25.0,210.70375052675936,-167.0,9.0,49.0,1029.0,-22.0,-28.0,19.0,-90.0,-198.0,-7.0,46.0,5.0,-11.0,-70.0,-13.0,-24.0,3.0,111.0,-409.0,-10.0,-80.18720692004914,1
20117_2016,9963.0,4894.0,4323.0,923.0,170.0,429.0,2134.0,2311.0,1514.0,257.0,486.0,8.0,165.0,129.0,44.0,206.0,173.0,758.0,9710.0,33.0,331.225534477567,-79.0,27.0,34.0,-343.0,14.0,-119.0,19.0,-9.0,87.0,-16.0,34.0,-15.0,24.0,-18.0,-47.0,-8.0,-20.0,-180.0,576.0,5.0,52.39661593544389,1
20117_2018,9798.0,4905.0,4112.0,904.0,208.0,505.0,2090.0,2304.0,1511.0,224.0,511.0,20.0,126.0,130.0,63.0,179.0,169.0,675.0,8865.0,23.0,234.7417840375587,-165.0,11.0,-211.0,-19.0,38.0,76.0,-44.0,-7.0,-3.0,-33.0,25.0,12.0,-39.0,1.0,19.0,-27.0,-4.0,-83.0,-845.0,-10.0,-96.48375044000832,1
20117_2020,9713.0,4925.0,4128.0,1697.0,130.0,589.0,2133.0,2322.0,1310.0,112.0,546.0,18.0,77.0,231.0,82.0,173.0,168.0,657.0,8809.0,28.0,288.2734479563472,-85.0,20.0,16.0,793.0,-78.0,84.0,43.0,18.0,-201.0,-112.0,35.0,-2.0,-49.0,101.0,19.0,-6.0,-1.0,-18.0,-56.0,5.0,53.531663918788496,1
20119_2020,4120.0,1978.0,1715.0,804.0,47.0,476.0,718.0,1049.0,382.0,122.0,1070.0,117.0,0.0,222.0,13.0,42.0,118.0,544.0,3512.0,14.0,339.80582524271847,-141.0,0.0,40.0,301.0,-14.0,-5.0,-35.0,-50.0,-30.0,-54.0,134.0,-21.0,0.0,59.0,-7.0,-20.0,-4.0,8.0,-226.0,-2.0,-35.69288398046854,1
20121_2016,32787.0,13324.0,12620.0,3079.0,720.0,1165.0,5072.0,8440.0,3810.0,1102.0,2233.0,27.0,355.0,601.0,72.0,604.0,710.0,2219.0,24819.0,79.0,240.94915667795163,22.0,91.0,270.0,106.0,-476.0,-183.0,365.0,-170.0,6.0,106.0,26.0,-36.0,-102.0,-74.0,-48.0,126.0,53.0,-871.0,-2919.0,-4.0,-12.36993381495239,1
20121_2018,33127.0,13617.0,12727.0,2509.0,537.0,955.0,5534.0,8321.0,4278.0,861.0,2353.0,34.0,275.0,523.0,111.0,429.0,722.0,1641.0,23384.0,60.0,181.12113985570682,340.0,293.0,107.0,-570.0,-183.0,-210.0,462.0,-119.0,468.0,-241.0,120.0,7.0,-80.0,-78.0,39.0,-175.0,12.0,-578.0,-1435.0,-19.0,-59.82801682224482,1
20121_2020,33740.0,13889.0,13000.0,3982.0,307.0,1004.0,5821.0,8220.0,4413.0,613.0,2625.0,76.0,304.0,445.0,127.0,438.0,727.0,1925.0,24711.0,77.0,228.21576763485479,613.0,272.0,273.0,1473.0,-230.0,49.0,287.0,-101.0,135.0,-248.0,272.0,42.0,29.0,-78.0,16.0,9.0,5.0,284.0,1327.0,17.0,47.09462777914797,1
20123_2016,6299.0,3294.0,2706.0,697.0,87.0,196.0,1423.0,1405.0,880.0,166.0,263.0,23.0,108.0,126.0,44.0,136.0,267.0,407.0,6788.0,14.0,222.25750119066518,-25.0,0.0,-89.0,69.0,-5.0,-41.0,43.0,42.0,53.0,-41.0,36.0,-4.0,17.0,36.0,13.0,-20.0,-39.0,-1.0,-130.0,2.0,32.50418050755323,1
20123_2018,6222.0,3311.0,2616.0,972.0,87.0,179.0,1443.0,1417.0,952.0,188.0,303.0,13.0,83.0,135.0,75.0,88.0,246.0,456.0,6824.0,20.0,321.44005143040823,-77.0,17.0,-90.0,275.0,0.0,-17.0,20.0,12.0,72.0,22.0,40.0,-10.0,-25.0,9.0,31.0,-48.0,-21.0,49.0,36.0,6.0,99.18255023974305,1
20123_2020,6053.0,3301.0,2593.0,1214.0,82.0,234.0,1412.0,1353.0,889.0,206.0,308.0,0.0,92.0,133.0,29.0,97.0,195.0,430.0,6493.0,19.0,313.89393689079793,-169.0,-10.0,-23.0,242.0,-5.0,55.0,-31.0,-64.0,-63.0,18.0,5.0,-13.0,9.0,-2.0,-46.0,9.0,-51.0,-26.0,-331.0,-1.0,-7.546114539610301,1
20125_2016,33765.0,16447.0,13630.0,6225.0,1150.0,2486.0,6203.0,7980.0,5745.0,1348.0,6672.0,365.0,707.0,1160.0,275.0,1238.0,898.0,4095.0,34729.0,132.0,390.9373611728121,-837.0,-60.0,-76.0,123.0,-498.0,-131.0,103.0,-210.0,-417.0,-7.0,-118.0,-7.0,-167.0,-115.0,27.0,-51.0,-123.0,-1071.0,-2970.0,33.0,104.82673172942731,1
20125_2018,32970.0,16499.0,13538.0,5860.0,844.0,2502.0,6318.0,7820.0,6159.0,1382.0,6646.0,470.0,659.0,1127.0,269.0,958.0,883.0,3650.0,32960.0,140.0,424.6284501061571,-795.0,52.0,-92.0,-365.0,-306.0,16.0,115.0,-160.0,414.0,34.0,-26.0,105.0,-48.0,-33.0,-6.0,-280.0,-15.0,-445.0,-1769.0,8.0,33.69108893334504,1
20125_2020,32114.0,16458.0,13767.0,9487.0,771.0,2161.0,6191.0,7593.0,6168.0,821.0,6746.0,234.0,868.0,1317.0,231.0,1183.0,892.0,4109.0,33251.0,122.0,379.89661829731585,-856.0,-41.0,229.0,3627.0,-73.0,-341.0,-127.0,-227.0,9.0,-561.0,100.0,-236.0,209.0,190.0,-38.0,225.0,9.0,459.0,291.0,-18.0,-44.731831808841264,1
20127_2016,5694.0,3195.0,2328.0,492.0,78.0,506.0,1344.0,1182.0,932.0,122.0,420.0,13.0,93.0,313.0,17.0,125.0,76.0,523.0,4114.0,21.0,368.80927291886195,-114.0,-10.0,-109.0,15.0,-38.0,66.0,3.0,-26.0,30.0,35.0,21.0,-3.0,7.0,-19.0,-19.0,-21.0,0.0,-56.0,-422.0,3.0,58.89191754696111,1
20127_2018,5566.0,3201.0,2247.0,514.0,85.0,402.0,1337.0,1212.0,947.0,161.0,449.0,35.0,86.0,272.0,10.0,142.0,79.0,497.0,3797.0,25.0,449.1555874955084,-128.0,6.0,-81.0,22.0,7.0,-104.0,-7.0,30.0,15.0,39.0,29.0,22.0,-7.0,-41.0,-7.0,17.0,3.0,-26.0,-317.0,4.0,80.34631457664648,1
20127_2020,5551.0,3212.0,2344.0,1007.0,78.0,306.0,1362.0,1155.0,971.0,108.0,493.0,47.0,88.0,295.0,2.0,117.0,76.0,416.0,3804.0,21.0,378.3102143757882,-15.0,11.0,97.0,493.0,-7.0,-96.0,25.0,-57.0,24.0,-53.0,44.0,12.0,2.0,23.0,-8.0,-25.0,-3.0,-81.0,7.0,-4.0,-70.84537311972025,1
20129_2018,2838.0,1460.0,1117.0,204.0,47.0,265.0,519.0,738.0,450.0,83.0,799.0,142.0,5.0,176.0,0.0,40.0,83.0,371.0,2896.0,12.0,422.8329809725159,-195.0,7.0,-41.0,-93.0,-70.0,23.0,-7.0,80.0,17.0,-12.0,-6.0,-41.0,-2.0,-46.0,-11.0,-10.0,-6.0,51.0,-493.0,1.0,60.15576369589206,1
20129_2020,2656.0,1451.0,1036.0,631.0,17.0,285.0,529.0,642.0,468.0,91.0,772.0,73.0,2.0,98.0,0.0,46.0,73.0,329.0,3082.0,10.0,376.50602409638554,-182.0,-9.0,-81.0,427.0,-30.0,20.0,10.0,-96.0,18.0,8.0,-27.0,-69.0,-3.0,-78.0,0.0,6.0,-10.0,-42.0,186.0,-2.0,-46.32695687613034,1
20131_2016,10177.0,4573.0,4141.0,1078.0,96.0,575.0,2042.0,2642.0,1301.0,241.0,431.0,8.0,198.0,201.0,44.0,187.0,317.0,553.0,10461.0,24.0,235.8258818905375,41.0,8.0,-20.0,-71.0,8.0,-68.0,-7.0,22.0,87.0,17.0,40.0,-7.0,1.0,-4.0,-5.0,-32.0,-55.0,-91.0,852.0,2.0,18.777736665596706,1
